Name,HullIndexFirst,HIF-ScaleX,HIF-ScaleY,HIF-ScaleZ,HIF-PositionX,HIF-PositionY,HIF-PositionZ,HIF-OrientationW,HIF-OrientationX,HIF-OrientationY,HIF-OrientationZ,HullIndexSecond,HIS-ScaleX,HIS-ScaleY,HIS-ScaleZ,HIS-PositionX,HIS-PositionY,HIS-PositionZ,HIS-OrientationW,HIS-OrientationX,HIS-OrientationY,HIS-OrientationZ,Fitness
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,1
Vermis-baseline,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,3,1.5,1.5,0.93,0.0,0.0,-5.792092,1.0,0.0,0.0,0.0,1
Vermis-baseline,3,1.5,1.5,0.93,0.0,0.0,-5.792092,1.0,0.0,0.0,0.0,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,1
Vermis-baseline,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,5,0.93,0.93,0.93,0.0,0.0,-9.630841,1.0,0.0,0.0,0.0,1
Vermis-baseline,5,0.93,0.93,0.93,0.0,0.0,-9.630841,1.0,0.0,0.0,0.0,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,1
Vermis-baseline,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,7,0.53,0.53,0.86,0.0,0.0,-13.193,1.0,0.0,0.0,0.0,1
Vermis-baseline,7,0.53,0.53,0.86,0.0,0.0,-13.193,1.0,0.0,0.0,0.0,8,0.6,0.6,0.75,0.0,0.0,-14.799787,1.0,0.0,0.0,0.0,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,0.0,0.8008,1.0,0.0,0.0,0.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,35,1.0,1.0,1.0,0.0,0.6,-1.650857,1.0,0.0,0.0,0.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,36,1.0,1.0,1.0,0.0,-0.6,-1.650857,0.0,0.0,0.0,1.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,37,1.0,1.0,1.0,-0.6,0.0,-1.650857,0.7071,0.0,0.0,0.7071,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,38,1.0,1.0,1.0,0.6,0.0,-1.650857,0.7071,0.0,0.0,-0.7071,1
Vermis-baseline,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,39,1.0,1.0,1.0,0.0,0.57,-3.81416,1.0,0.0,0.0,0.0,1
Vermis-baseline,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,40,1.0,1.0,1.0,0.0,-0.57,-3.81416,0.0,0.0,0.0,1.0,1
Vermis-baseline,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,41,1.0,1.0,1.0,0.0,0.46,-7.736513,1.0,0.0,0.0,0.0,1
Vermis-baseline,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,42,1.0,1.0,1.0,0.0,-0.46,-7.736513,0.0,0.0,0.0,1.0,1
Vermis-baseline,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,43,1.0,1.0,1.0,0.0,0.38,-11.460143,1.0,0.0,0.0,0.0,1
Vermis-baseline,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,44,1.0,1.0,1.0,0.0,-0.38,-11.460143,0.0,0.0,0.0,1.0,1
Vermis-baseline,8,0.6,0.6,0.75,0.0,0.0,-14.799787,1.0,0.0,0.0,0.0,45,1.0,1.0,1.0,0.0,0.27,-14.799787,1.0,0.0,0.0,0.0,1
Vermis-baseline,8,0.6,0.6,0.75,0.0,0.0,-14.799787,1.0,0.0,0.0,0.0,46,1.0,1.0,1.0,0.0,-0.27,-14.799787,0.0,0.0,0.0,1.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,47,0.2,0.2,0.2,0.0,0.5,-2.2,1.0,0.0,0.0,0.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,48,0.2,0.2,0.2,0.0,-0.5,-2.2,0.0,0.0,0.0,1.0,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,49,0.2,0.2,0.2,-0.5,0.0,-2.2,0.7071,0.0,0.0,-0.7071,1
Vermis-baseline,1,1.0,1.0,1.0,0.0,0.0,-1.850857,1.0,0.0,0.0,0.0,50,0.2,0.2,0.2,0.5,0.0,-2.2,0.7071,0.0,0.0,0.7071,1
Vermis-baseline,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,51,0.2,0.2,0.2,0.0,0.45,-4.1,1.0,0.0,0.0,0.0,1
Vermis-baseline,2,1.24,1.24,1.0,0.0,0.0,-3.81416,1.0,0.0,0.0,0.0,52,0.2,0.2,0.2,0.0,-0.45,-4.1,0.0,0.0,0.0,1.0,1
Vermis-baseline,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,53,0.2,0.2,0.2,0.0,0.4,-8.0,1.0,0.0,0.0,0.0,1
Vermis-baseline,4,0.74,0.74,1.0,0.0,0.0,-7.736513,1.0,0.0,0.0,0.0,54,0.2,0.2,0.2,0.0,-0.4,-8.0,0.0,0.0,0.0,1.0,1
Vermis-baseline,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,55,0.2,0.2,0.2,0.0,0.31,-11.860143,1.0,0.0,0.0,0.0,1
Vermis-baseline,6,1.14,1.14,0.84,0.0,0.0,-11.460143,1.0,0.0,0.0,0.0,56,0.2,0.2,0.2,0.0,-0.31,-11.860143,0.0,0.0,0.0,1.0,1
Vermis-baseline,8,0.6,0.6,0.75,0.0,0.0,-14.799787,1.0,0.0,0.0,0.0,57,0.2,0.2,0.2,0.0,0.19,-15.1,1.0,0.0,0.0,0.0,1
Vermis-baseline,8,0.6,0.6,0.75,0.0,0.0,-14.799787,1.0,0.0,0.0,0.0,58,0.2,0.2,0.2,0.0,-0.19,-15.1,0.0,0.0,0.0,1.0,1
Vermis-baseline,10,1.0,1.0,1.0,0.0,0.0,2.276,1.0,0.0,0.0,0.0,59,0.7,0.7,0.7,0.0,0.0,3.1,1.0,0.0,0.0,0.0,1
Vermis-baseline,12,1.0,1.0,1.0,-5.366,0.0,-1.617,1.0,0.0,0.0,0.0,60,1.0,1.0,1.0,-5.45,0.0,1.46,1.0,0.0,0.0,0.0,1
Vermis-baseline,12,1.0,1.0,1.0,-5.366,0.0,-1.617,1.0,0.0,0.0,0.0,61,1.0,1.0,1.0,5.45,0.0,1.46,1.0,0.0,0.0,0.0,1
Vermis-baseline,10,1.0,1.0,1.0,0.0,0.0,2.276,1.0,0.0,0.0,0.0,62,0.4,0.4,0.4,-1.89,0.0,1.8,1.0,0.0,0.0,0.0,1
Vermis-baseline,10,1.0,1.0,1.0,0.0,0.0,2.276,1.0,0.0,0.0,0.0,63,0.4,0.4,0.4,1.89,0.0,1.8,1.0,0.0,0.0,0.0,1
