Name,HullIndexFirst,HIF-ScaleX,HIF-ScaleY,HIF-ScaleZ,HIF-PositionX,HIF-PositionY,HIF-PositionZ,HIF-OrientationW,HIF-OrientationX,HIF-OrientationY,HIF-OrientationZ,HullIndexSecond,HIS-ScaleX,HIS-ScaleY,HIS-ScaleZ,HIS-PositionX,HIS-PositionY,HIS-PositionZ,HIS-OrientationW,HIS-OrientationX,HIS-OrientationY,HIS-OrientationZ,Fitness
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,-0.36,0.0,0.2,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-0.12,0.0,0.2,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,0.12,0.0,0.2,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,0.36,0.0,0.2,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,5,1.0,1.0,1.0,-0.36,0.214,0.213,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,6,1.0,1.0,1.0,-0.12,0.214,0.213,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,7,1.0,1.0,1.0,0.12,0.214,0.213,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,8,1.0,1.0,1.0,0.36,0.214,0.213,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,1
Argos-baseline,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,11,1.0,1.0,1.0,-0.9,0.0,0.0,0.7071,0.0,-0.7071,0.0,1
Argos-baseline,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,12,1.0,1.0,1.0,-0.9,0.0,0.6,0.7071,0.0,-0.7071,0.0,1
Argos-baseline,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,13,1.0,1.0,1.0,-0.46,0.0,0.9,0.7071,0.0,0.7071,0.0,1
Argos-baseline,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,14,1.0,1.0,1.0,-0.46,0.0,1.4,0.7071,0.0,0.7071,0.0,1
Argos-baseline,9,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,15,1.0,1.0,1.0,-0.31,0.0,2.03,0.7071,0.0,0.7071,0.0,1
Argos-baseline,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,16,1.0,1.0,1.0,0.9,0.0,0.0,0.7071,0.0,0.7071,0.0,1
Argos-baseline,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,17,1.0,1.0,1.0,0.9,0.0,0.6,0.7071,0.0,0.7071,0.0,1
Argos-baseline,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,18,1.0,1.0,1.0,0.46,0.0,0.9,0.7071,0.0,-0.7071,0.0,1
Argos-baseline,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,19,1.0,1.0,1.0,0.46,0.0,1.4,0.7071,0.0,-0.7071,0.0,1
Argos-baseline,10,1.0,1.0,1.0,0.583,0.0,-0.222,0.0,0.0,0.0,1.0,20,1.0,1.0,1.0,0.31,0.0,2.03,0.7071,0.0,-0.7071,0.0,1
Argos-baseline,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,21,1.0,1.0,1.0,0.0,0.067,3.022,1.0,0.0,0.0,0.0,1
Argos-baseline,21,1.0,1.0,1.0,0.0,0.067,3.022,1.0,0.0,0.0,0.0,22,1.0,1.0,1.0,0.0,0.468,2.396,1.0,0.0,0.0,0.0,1
Argos-baseline,21,1.0,1.0,1.0,0.0,0.067,3.022,1.0,0.0,0.0,0.0,23,1.0,1.0,1.0,0.0,-0.468,2.396,0.0,0.0,0.0,1.0,1
