Name,LinkType,HullIndexFirst,HullIndexSecond,Destructible,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,Fitness
models/xml/1/20210519.01.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.20.01.xml-baseline,0,-1,-1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.13.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.25.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.04.01.xml-baseline,0,1,0,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.08.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.16.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.29.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.30.01.xml-baseline,0,0,1,1,0.0,0.0,0.0,,,1
models/xml/1/20210519.11.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.22.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.03.01.xml-baseline,0,1,0,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.14.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.06.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.18.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.27.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.02.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.23.01.xml-baseline,0,1,0,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.10.01.xml-baseline,0,0,1,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.31.01.xml-baseline,0,1,0,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.19.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.26.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.15.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.12.01.xml-baseline,0,1,0,1,5.0,0.0,0.0,,,1
models/xml/1/20210519.21.01.xml-baseline,0,1,2,0,0.3,0.25,0.3,,,1
models/xml/1/20210519.17.01.xml-baseline,0,1,2,0,4.0,5.0,5.0,,,1
models/xml/1/20210524.28.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/1/20210519.05.01.xml-baseline,0,1,0,0,0.0,0.0,0.0,,,1
models/xml/1/20210524.24.01.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.01.02.xml-baseline,0,1,2,0,4.0,3.0,3.0,,,1
models/xml/2/20210519.01.02.xml-baseline,0,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.20.02.xml-baseline,0,-1,-1,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.13.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.25.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.25.02.xml-baseline,0,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.25.02.xml-baseline,0,3,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.25.02.xml-baseline,0,4,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.04.02.xml-baseline,0,4,1,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.04.02.xml-baseline,0,4,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.04.02.xml-baseline,0,4,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.04.02.xml-baseline,0,4,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.04.02.xml-baseline,0,5,6,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.08.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.08.02.xml-baseline,1,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.08.02.xml-baseline,1,2,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.08.02.xml-baseline,2,2,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.16.02.xml-baseline,3,4,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.16.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.16.02.xml-baseline,1,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.16.02.xml-baseline,0,1,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.29.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.30.02.xml-baseline,0,1,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.30.02.xml-baseline,0,2,4,0,1.0,1.0,1.0,,,1
models/xml/2/20210524.30.02.xml-baseline,0,4,3,0,1.0,1.0,1.0,,,1
models/xml/2/20210524.30.02.xml-baseline,0,4,5,0,1.0,1.0,1.0,,,1
models/xml/2/20210524.30.02.xml-baseline,0,4,6,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.11.02.xml-baseline,0,2,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.11.02.xml-baseline,0,2,1,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.11.02.xml-baseline,0,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.11.02.xml-baseline,0,2,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,1,1,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,2,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,3,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,4,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,5,6,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,6,7,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.22.02.xml-baseline,0,6,8,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.03.02.xml-baseline,0,0,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.03.02.xml-baseline,0,1,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.03.02.xml-baseline,0,2,1,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.03.02.xml-baseline,0,4,0,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.14.02.xml-baseline,0,1,2,0,200.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,1,3,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,1,4,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,-1,-1,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,4,5,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.06.02.xml-baseline,0,1,7,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.18.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210524.18.02.xml-baseline,1,4,1,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.27.02.xml-baseline,0,1,2,0,0.0,0.0,0.0,,,1
models/xml/2/20210519.27.02.xml-baseline,0,2,3,0,0.0,0.0,0.0,,,1
