Name,HullIndexParent,WeaponType,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,ObjectMass,ObjectMaterial,ObjectMaximumLife,ObjectArmor,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,LocalDirectionX,LocalDirectionY,LocalDirectionZ,WeaponPriority,WeaponBehaviour,ReloadTime,HasLock,AffectorType,AffectorScaleFactor,AffectorPowerFactor,AffectorPositionX,AffectorPositionY,AffectorPositionZ,Fitness
models/xml/1/20210519.01.01.xml-baseline,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0,0.0,0.0,2.5,5.5,2.0,,,0.0,0.0,0.0,5,2,0.0,0,0,0.0,2.0,1.0,2.0,0.0,1
models/xml/1/20210524.20.01.xml-baseline,-1,0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0,50.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,10.0,0,0,1.0,10.0,0.0,0.0,0.0,1
models/xml/1/20210519.13.01.xml-baseline,-1,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0,0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210519.25.01.xml-baseline,1,0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.0,15.0,20.0,,,0.0,0.0,0.0,0,0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210524.04.01.xml-baseline,1,0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0,0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210524.08.01.xml-baseline,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210524.16.01.xml-baseline,0,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210519.29.01.xml-baseline,1,0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3,0,2.5,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210524.30.01.xml-baseline,1,6,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0,100.0,120.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
models/xml/1/20210519.11.01.xml-baseline,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0,0,1.2,0,0,0.0,0.0,0.0,0.0,0.0,1
