Name,HullIndexFirst,HIF-ScaleX,HIF-ScaleY,HIF-ScaleZ,HIF-PositionX,HIF-PositionY,HIF-PositionZ,HIF-OrientationW,HIF-OrientationX,HIF-OrientationY,HIF-OrientationZ,HullIndexSecond,HIS-ScaleX,HIS-ScaleY,HIS-ScaleZ,HIS-PositionX,HIS-PositionY,HIS-PositionZ,HIS-OrientationW,HIS-OrientationX,HIS-OrientationY,HIS-OrientationZ,Fitness
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.812,-0.275,1.0,0.0,0.0,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-0.429,0.44,-0.36,0.7071,0.0,-0.7071,0.0,1
Orion-baseline,2,1.0,1.0,1.0,-0.429,0.44,-0.36,0.7071,0.0,-0.7071,0.0,3,1.0,1.0,1.0,-0.647,0.44,-0.36,0.7071,0.0,-0.7071,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,0.429,0.44,-0.36,0.7071,0.0,0.7071,0.0,1
Orion-baseline,4,1.0,1.0,1.0,0.429,0.44,-0.36,0.7071,0.0,0.7071,0.0,5,1.0,1.0,1.0,0.647,0.44,-0.36,0.7071,0.0,0.7071,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,1.0,1.0,-0.569,-0.149,0.285,0.7071,0.0,-0.7071,0.0,1
Orion-baseline,6,1.0,1.0,1.0,-0.569,-0.149,0.285,0.7071,0.0,-0.7071,0.0,7,1.0,1.0,1.0,-0.786,-0.149,0.285,0.7071,0.0,-0.7071,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,1.0,1.0,1.0,0.569,-0.149,0.285,0.7071,0.0,0.7071,0.0,1
Orion-baseline,8,1.0,1.0,1.0,0.569,-0.149,0.285,0.7071,0.0,0.7071,0.0,9,1.0,1.0,1.0,0.786,-0.149,0.285,0.7071,0.0,0.7071,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,1.0,1.0,1.0,0.0,-0.334,0.743,1.0,0.0,0.0,0.0,1
Orion-baseline,10,1.0,1.0,1.0,0.0,-0.334,0.743,1.0,0.0,0.0,0.0,11,1.0,1.0,1.0,0.0,-0.334,0.986,1.0,0.0,0.0,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,-0.878,0.0,0.0,1.0,0.0,1
Orion-baseline,12,1.0,1.0,1.0,0.0,0.0,-0.878,0.0,0.0,1.0,0.0,13,1.0,1.0,1.0,0.0,1.0,-1.15,0.7071,0.0,0.0,0.7071,1
Orion-baseline,12,1.0,1.0,1.0,0.0,0.0,-0.878,0.0,0.0,1.0,0.0,14,1.0,1.0,1.0,0.0,-1.0,-1.15,0.7071,0.0,0.0,0.7071,1
Orion-baseline,13,1.0,1.0,1.0,0.0,1.0,-1.15,0.7071,0.0,0.0,0.7071,15,0.22,0.22,0.22,0.0,1.5,-0.976,1.0,0.0,0.0,0.0,1
Orion-baseline,14,1.0,1.0,1.0,0.0,-1.0,-1.15,0.7071,0.0,0.0,0.7071,16,0.22,0.22,0.22,0.0,-1.5,-0.976,1.0,0.0,0.0,0.0,1
Orion-baseline,15,0.22,0.22,0.22,0.0,1.5,-0.976,1.0,0.0,0.0,0.0,17,1.0,1.0,1.0,0.0,1.8,-0.544,1.0,0.0,0.0,0.0,1
Orion-baseline,16,0.22,0.22,0.22,0.0,-1.5,-0.976,1.0,0.0,0.0,0.0,18,1.0,1.0,1.0,0.0,-1.8,-0.544,1.0,0.0,0.0,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,19,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Orion-baseline,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Orion-baseline,21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24,1.666,1.0,1.666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Orion-baseline,24,1.666,1.0,1.666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,1.666,1.0,1.666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Orion-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27,2.5,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,27,2.5,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28,2.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Orion-baseline,28,2.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29,2.5,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Orion-baseline,29,2.5,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,2.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Orion-baseline,19,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31,0.75,0.75,0.75,0.0,0.0,3.5,1.0,0.0,0.0,0.0,1
Orion-baseline,21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,0.75,0.75,0.75,0.0,0.0,-3.5,0.0,0.0,1.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,1.4,1.4,1.4,-5.2,0.0,0.0,0.7071,0.0,-0.7071,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,1.4,1.4,1.4,5.2,0.0,0.0,0.7071,0.0,0.7071,0.0,1
Orion-baseline,27,2.5,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35,2.0,2.0,2.0,0.0,0.0,7.65,1.0,0.0,0.0,0.0,1
Orion-baseline,29,2.5,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,2.0,2.0,2.0,0.0,0.0,-7.65,0.0,0.0,1.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,1.0,1.0,1.0,-1.0,0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38,1.0,1.0,1.0,0.0,0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39,1.0,1.0,1.0,1.0,0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40,1.0,1.0,1.0,-1.0,-0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,1.0,1.0,1.0,0.0,-0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,23,1.666,1.0,1.666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42,1.0,1.0,1.0,1.0,-0.586,4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,1.0,1.0,1.0,-1.0,0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44,1.0,1.0,1.0,0.0,0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45,1.0,1.0,1.0,1.0,0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,1.0,1.0,1.0,-1.0,-0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47,1.0,1.0,1.0,0.0,-0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,25,1.666,1.0,1.666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,1.0,1.0,1.0,1.0,-0.586,-4.75,1.0,0.0,0.0,0.0,1
Orion-baseline,27,2.5,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49,1.0,1.0,1.0,-7.125,0.586,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,27,2.5,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50,1.0,1.0,1.0,-7.125,-0.586,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,28,2.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51,1.0,1.0,1.0,7.125,0.586,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,28,2.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,1.0,1.0,1.0,7.125,-0.586,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,49,1.0,1.0,1.0,-7.125,0.586,0.0,1.0,0.0,0.0,0.0,53,1.0,1.0,1.0,-7.125,1.586,0.0,1.0,0.0,0.0,0.0,1
Orion-baseline,50,1.0,1.0,1.0,-7.125,-0.586,0.0,1.0,0.0,0.0,0.0,54,1.0,1.0,1.0,-7.125,-1.586,0.0,1.0,0.0,0.0,0.0,1
