Name,HullIndexFirst,HIF-ScaleX,HIF-ScaleY,HIF-ScaleZ,HIF-PositionX,HIF-PositionY,HIF-PositionZ,HIF-OrientationW,HIF-OrientationX,HIF-OrientationY,HIF-OrientationZ,HullIndexSecond,HIS-ScaleX,HIS-ScaleY,HIS-ScaleZ,HIS-PositionX,HIS-PositionY,HIS-PositionZ,HIS-OrientationW,HIS-OrientationX,HIS-OrientationY,HIS-OrientationZ,Fitness
Teuthus-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.477716,1.0,0.0,0.0,0.0,1
Teuthus-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,0.349,0.0,0.608711,0.0,0.0,0.0,1.0,1
Teuthus-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-0.349,0.0,0.608711,1.0,0.0,0.0,0.0,1
Teuthus-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,0.95,0.0,0.72,0.0,0.0,0.0,1.0,1
Teuthus-baseline,4,1.0,1.0,1.0,0.95,0.0,0.72,0.0,0.0,0.0,1.0,5,1.0,1.0,1.0,0.95,0.0,1.28,0.0,0.0,0.0,1.0,1
Teuthus-baseline,5,1.0,1.0,1.0,0.95,0.0,1.28,0.0,0.0,0.0,1.0,6,1.0,1.0,1.0,0.95,0.0,1.84,0.0,0.0,0.0,1.0,1
Teuthus-baseline,6,1.0,1.0,1.0,0.95,0.0,1.84,0.0,0.0,0.0,1.0,7,1.0,1.0,1.0,0.95,0.0,2.4,0.0,0.0,0.0,1.0,1
Teuthus-baseline,7,1.0,1.0,1.0,0.95,0.0,2.4,0.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.95,0.0,2.96,0.0,0.0,0.0,1.0,1
Teuthus-baseline,8,1.0,1.0,1.0,0.95,0.0,2.96,0.0,0.0,0.0,1.0,9,1.0,1.0,1.0,0.95,0.0,3.332952,0.0,0.0,0.0,1.0,1
Teuthus-baseline,9,1.0,1.0,1.0,0.95,0.0,3.332952,0.0,0.0,0.0,1.0,10,1.0,1.0,1.0,0.95,0.0,4.244,0.0,0.0,0.0,1.0,1
Teuthus-baseline,10,1.0,1.0,1.0,0.95,0.0,4.244,0.0,0.0,0.0,1.0,11,1.0,1.0,1.0,0.95,0.0,4.779798,0.0,0.0,0.0,1.0,1
Teuthus-baseline,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,1.0,1.0,1.0,-0.95,0.0,0.72,0.0,0.0,0.0,1.0,1
Teuthus-baseline,12,1.0,1.0,1.0,-0.95,0.0,0.72,0.0,0.0,0.0,1.0,13,1.0,1.0,1.0,-0.95,0.0,1.28,0.0,0.0,0.0,1.0,1
Teuthus-baseline,13,1.0,1.0,1.0,-0.95,0.0,1.28,0.0,0.0,0.0,1.0,14,1.0,1.0,1.0,-0.95,0.0,1.84,0.0,0.0,0.0,1.0,1
Teuthus-baseline,14,1.0,1.0,1.0,-0.95,0.0,1.84,0.0,0.0,0.0,1.0,15,1.0,1.0,1.0,-0.95,0.0,2.4,0.0,0.0,0.0,1.0,1
Teuthus-baseline,15,1.0,1.0,1.0,-0.95,0.0,2.4,0.0,0.0,0.0,1.0,16,1.0,1.0,1.0,-0.95,0.0,2.96,0.0,0.0,0.0,1.0,1
Teuthus-baseline,16,1.0,1.0,1.0,-0.95,0.0,2.96,0.0,0.0,0.0,1.0,17,1.0,1.0,1.0,-0.95,0.0,3.332952,0.0,0.0,0.0,1.0,1
Teuthus-baseline,17,1.0,1.0,1.0,-0.95,0.0,3.332952,0.0,0.0,0.0,1.0,18,1.0,1.0,1.0,-0.95,0.0,4.244,0.0,0.0,0.0,1.0,1
