Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,100,0,50,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,100.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,87.0,0,43.5,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,112.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,112.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,226.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,50.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,87.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,85.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,90.0,0,50.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,44.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,112.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,86.0,0,50.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,226.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,55.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,230.0,0,115.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,50.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,222.0,0,89.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,87.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,44.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,115.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,115.0,0,42.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,226.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,230.0,0,85.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,87.0,0,43.5,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,85.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,112.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,89.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,111.0,0,55.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,89.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,100.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,55.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,226.0,0,87.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,222.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,90.0,0,50.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,222.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,87.0,0,43.5,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,114.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,87.0,0,43.5,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,87.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,115.0,0,57.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,86.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,112.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,112.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,112.0,0,44.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,230.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,85.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,115.0,0,42.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,114.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,86.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,114.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,111.0,0,44.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,86.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,89.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,50.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,112.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,172.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,42.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,100.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,85.0,0,57.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,220.0,0,100.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,44.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,224.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,90.0,0,50.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,226.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,112.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,89.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,230.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,110.0,0,50.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,174.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,115.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,111.0,0,50.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,100.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,110.0,0,45.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,50.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,220.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,89.0,0,55.5,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,228.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,114.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,43.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,176.0,0,88.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,180.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,50.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,220.0,0,90.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,88.0,0,44.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,178.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,222.0,0,100.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,115.0,0,42.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,100.0,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,57.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.9
