Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,1
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,1
Vermis-baseline,-1,-1,0,-1,0,-1,0,4,200,0,190,1
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,212.8,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,224.0,0,167.2,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,212.8,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,165.3,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,220.0,0,190.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,212.8,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,214.7,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,165.3,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,212.8,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,163.4,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,171.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,167.2,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,170.0,0,161.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,169.1,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,171.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,190.0,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,214.7,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,220.0,0,171.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,212.8,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,190.0,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,172.0,0,163.4,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,210.9,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,214.7,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,165.3,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,167.2,0.88
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,161.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,222.0,0,210.9,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,169.1,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,216.6,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,180.0,0,190.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,171.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,230.0,0,161.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,216.6,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,180.0,0,190.0,0.9
