Name,HullIndexParent,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,LocalDirectionX,LocalDirectionY,LocalDirectionZ,FiringTurnMaximum,FiringTurnStart,FiringTurnEnd,Roll,FiringPositionX,FiringPositionY,FiringPositionZ,FiringDirectionX,FiringDirectionY,FiringDirectionZ,Fitness
Vermis-baseline,3,0.3,0.3,0.3,-0.47,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,14,0,4,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,3,0.3,0.3,0.3,0.47,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,0,4,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,5,0.3,0.3,0.3,-0.64,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,14,5,9,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,5,0.3,0.3,0.3,0.64,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,5,9,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,7,0.3,0.3,0.3,-0.94,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,14,10,14,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,7,0.3,0.3,0.3,0.94,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,10,14,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Vermis-baseline,8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,-0.75,0.0,0.0,-1.0,1
Vermis-baseline,8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.3,0.0,-0.75,1.0,0.0,-1.0,1
Vermis-baseline,8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,-0.3,0.0,-0.75,-1.0,0.0,-1.0,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.007036,0.007036,0.0995037,0.07036,0.07036,0.995037,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,-0.007036,0.007036,0.0995037,-0.07036,0.07036,0.995037,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.007036,-0.007036,0.0995037,0.07036,-0.07036,0.995037,1
Vermis-baseline,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,-0.007036,-0.007036,0.0995037,-0.07036,-0.07036,0.995037,1
