Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Vermis-baseline,4,300,50,100,0,5,5,0,1
Vermis-mutated,4,300.0,50.0,100.0,0.0,5.55,5.55,0.0,0.89
Vermis-mutated,4,333.0,44.5,100.0,0.0,4.45,5.55,0.0,0.89
Vermis-mutated,4,270.0,45.0,100.0,0.0,4.5,4.5,0.0,0.9
Vermis-mutated,4,300.0,55.5,100.0,0.0,5.55,4.45,0.0,0.89
Vermis-mutated,4,267.0,50.0,111.0,0.0,5.55,5.0,0.0,0.89
Vermis-mutated,4,270.0,45.0,90.0,0.0,5.5,5.5,0.0,0.9
Vermis-mutated,4,270.0,45.0,100.0,0.0,4.5,4.5,0.0,0.9
Vermis-mutated,4,267.0,55.5,89.0,0.0,5.0,4.45,0.0,0.89
Vermis-mutated,4,255.0,57.5,100.0,0.0,4.25,5.75,0.0,0.85
Vermis-mutated,4,270.0,55.0,110.0,0.0,5.5,4.5,0.0,0.9
Vermis-mutated,4,339.0,50.0,100.0,0.0,5.65,5.65,0.0,0.87
Vermis-mutated,4,270.0,55.0,100.0,0.0,5.0,4.5,0.0,0.9
Vermis-mutated,4,261.0,43.5,100.0,0.0,5.0,5.65,0.0,0.87
Vermis-mutated,4,330.0,45.0,100.0,0.0,5.5,5.0,0.0,0.9
Vermis-mutated,4,267.0,50.0,89.0,0.0,5.0,5.55,0.0,0.89
Vermis-mutated,4,270.0,55.0,100.0,0.0,5.5,5.5,0.0,0.9
Vermis-mutated,4,264.0,50.0,88.0,0.0,4.4,5.6,0.0,0.88
Vermis-mutated,4,330.0,50.0,100.0,0.0,4.5,4.5,0.0,0.9
Vermis-mutated,4,300.0,44.0,88.0,0.0,5.0,5.0,0.0,0.88
Vermis-mutated,4,255.0,42.5,115.0,0.0,5.0,5.0,0.0,0.85
Vermis-mutated,4,300.0,43.0,100.0,0.0,5.0,5.0,0.0,0.86
Vermis-mutated,4,300.0,56.5,100.0,0.0,5.65,4.35,0.0,0.87
Vermis-mutated,4,333.0,44.5,100.0,0.0,5.0,5.55,0.0,0.89
Vermis-mutated,4,261.0,56.5,113.0,0.0,5.65,5.65,0.0,0.87
Vermis-mutated,4,342.0,43.0,100.0,0.0,4.3,5.7,0.0,0.86
Vermis-mutated,4,300.0,57.5,100.0,0.0,5.0,5.0,0.0,0.85
Vermis-mutated,4,339.0,50.0,87.0,0.0,4.35,5.65,0.0,0.87
Vermis-mutated,4,333.0,55.5,111.0,0.0,4.45,5.55,0.0,0.89
Vermis-mutated,4,339.0,43.5,113.0,0.0,4.35,4.35,0.0,0.87
Vermis-mutated,4,264.0,56.0,100.0,0.0,5.6,5.6,0.0,0.88
Vermis-mutated,4,261.0,56.5,100.0,0.0,4.35,4.35,0.0,0.87
Vermis-mutated,4,330.0,45.0,100.0,0.0,5.5,5.5,0.0,0.9
Vermis-mutated,4,264.0,44.0,88.0,0.0,5.0,5.0,0.0,0.88
Vermis-mutated,4,300.0,50.0,100.0,0.0,4.45,5.55,0.0,0.89
Vermis-mutated,4,255.0,57.5,100.0,0.0,5.75,5.75,0.0,0.85
Vermis-mutated,4,267.0,50.0,100.0,0.0,5.0,5.55,0.0,0.89
Vermis-mutated,4,261.0,56.5,113.0,0.0,4.35,5.65,0.0,0.87
Vermis-mutated,4,300.0,50.0,88.0,0.0,5.6,5.6,0.0,0.88
Vermis-mutated,4,339.0,43.5,113.0,0.0,4.35,5.0,0.0,0.87
Vermis-mutated,4,300.0,55.5,100.0,0.0,5.55,4.45,0.0,0.89
Vermis-mutated,4,300.0,43.5,87.0,0.0,5.65,4.35,0.0,0.87
Vermis-mutated,4,336.0,56.0,88.0,0.0,4.4,5.6,0.0,0.88
Vermis-mutated,4,345.0,57.5,100.0,0.0,5.75,4.25,0.0,0.85
Vermis-mutated,4,300.0,56.5,100.0,0.0,5.0,5.65,0.0,0.87
Vermis-mutated,4,270.0,50.0,90.0,0.0,5.0,4.5,0.0,0.9
Vermis-mutated,4,270.0,55.0,100.0,0.0,5.0,5.0,0.0,0.9
Vermis-mutated,4,330.0,45.0,110.0,0.0,5.5,5.0,0.0,0.9
Vermis-mutated,4,264.0,50.0,100.0,0.0,4.4,5.0,0.0,0.88
Vermis-mutated,4,336.0,44.0,112.0,0.0,4.4,5.0,0.0,0.88
