Name,LinkType,HullIndexFirst,HullIndexSecond,Destructible,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,Fitness
Argos-baseline,0,0,1,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,0,2,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,0,3,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,0,4,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,5,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,6,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,7,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,8,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,9,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,0,10,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,9,11,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,9,12,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,9,13,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,9,14,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,9,15,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,10,16,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,10,17,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,10,18,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,10,19,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,10,20,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,0,21,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,21,22,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,21,23,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,21,24,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,21,25,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,24,26,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,25,27,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,26,28,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,26,30,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,27,29,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,27,31,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,24,32,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,0,25,33,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,22,34,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
Argos-baseline,3,23,35,1,0.0,1.0,1.0,00000000000000000000000000000000,00000000000000000000000000000000,1
