Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Argos-baseline,6,30,0,1000,0,1,0.5,1,1
Argos-mutated,6,26.1,0.0,870.0,0.0,0.87,0.435,1.13,0.87
Argos-mutated,6,30.0,0.0,1000.0,0.0,0.86,0.5700000000000001,1.1400000000000001,0.86
Argos-mutated,6,25.5,0.0,850.0,0.0,1.15,0.5,0.85,0.85
Argos-mutated,6,26.4,0.0,1000.0,0.0,1.0,0.56,1.12,0.88
Argos-mutated,6,30.0,0.0,860.0,0.0,1.0,0.5,1.0,0.86
Argos-mutated,6,30.0,0.0,1000.0,0.0,0.85,0.575,1.0,0.85
Argos-mutated,6,30.0,0.0,1000.0,0.0,1.12,0.5,1.0,0.88
Argos-mutated,6,33.3,0.0,890.0,0.0,0.89,0.555,0.89,0.89
Argos-mutated,6,30.0,0.0,1000.0,0.0,1.12,0.5,0.88,0.88
Argos-mutated,6,27.0,0.0,1100.0,0.0,1.0,0.45,1.0,0.9
Argos-mutated,6,25.5,0.0,1150.0,0.0,1.0,0.575,1.15,0.85
Argos-mutated,6,30.0,0.0,880.0,0.0,0.88,0.44,1.0,0.88
Argos-mutated,6,25.5,0.0,1150.0,0.0,1.15,0.425,0.85,0.85
Argos-mutated,6,30.0,0.0,880.0,0.0,1.12,0.44,1.12,0.88
Argos-mutated,6,30.0,0.0,1110.0,0.0,1.11,0.5,1.0,0.89
Argos-mutated,6,33.0,0.0,900.0,0.0,1.1,0.5,0.9,0.9
Argos-mutated,6,26.1,0.0,1000.0,0.0,0.87,0.565,0.87,0.87
Argos-mutated,6,33.6,0.0,1000.0,0.0,1.0,0.5,1.12,0.88
Argos-mutated,6,30.0,0.0,1150.0,0.0,1.15,0.425,1.0,0.85
Argos-mutated,6,25.8,0.0,1000.0,0.0,1.0,0.43,0.86,0.86
Argos-mutated,6,34.2,0.0,1140.0,0.0,0.86,0.43,1.1400000000000001,0.86
Argos-mutated,6,33.0,0.0,1100.0,0.0,1.1,0.5,0.9,0.9
Argos-mutated,6,33.0,0.0,1100.0,0.0,0.9,0.45,0.9,0.9
Argos-mutated,6,25.8,0.0,860.0,0.0,1.0,0.43,1.0,0.86
Argos-mutated,6,27.0,0.0,1000.0,0.0,1.0,0.45,0.9,0.9
Argos-mutated,6,30.0,0.0,1120.0,0.0,0.88,0.44,1.0,0.88
Argos-mutated,6,33.6,0.0,1000.0,0.0,1.0,0.44,1.0,0.88
Argos-mutated,6,26.1,0.0,1130.0,0.0,1.0,0.565,1.13,0.87
Argos-mutated,6,26.4,0.0,1000.0,0.0,1.12,0.5,1.0,0.88
Argos-mutated,6,33.0,0.0,900.0,0.0,0.9,0.5,1.0,0.9
Argos-mutated,6,26.4,0.0,880.0,0.0,1.12,0.44,0.88,0.88
Argos-mutated,6,34.2,0.0,1140.0,0.0,0.86,0.5700000000000001,1.1400000000000001,0.86
Argos-mutated,6,30.0,0.0,1110.0,0.0,0.89,0.5,1.0,0.89
Argos-mutated,6,33.9,0.0,870.0,0.0,1.0,0.435,0.87,0.87
Argos-mutated,6,34.2,0.0,1140.0,0.0,1.1400000000000001,0.43,1.0,0.86
Argos-mutated,6,25.5,0.0,850.0,0.0,0.85,0.5,1.0,0.85
Argos-mutated,6,27.0,0.0,900.0,0.0,0.9,0.5,0.9,0.9
Argos-mutated,6,33.0,0.0,900.0,0.0,1.0,0.55,0.9,0.9
Argos-mutated,6,30.0,0.0,890.0,0.0,1.11,0.5,1.11,0.89
Argos-mutated,6,30.0,0.0,1110.0,0.0,0.89,0.5,0.89,0.89
Argos-mutated,6,34.5,0.0,850.0,0.0,1.15,0.5,0.85,0.85
Argos-mutated,6,30.0,0.0,1000.0,0.0,1.11,0.555,1.0,0.89
Argos-mutated,6,33.9,0.0,1000.0,0.0,1.0,0.5,1.13,0.87
Argos-mutated,6,33.6,0.0,880.0,0.0,1.0,0.5,1.12,0.88
Argos-mutated,6,30.0,0.0,1130.0,0.0,0.87,0.435,0.87,0.87
Argos-mutated,6,26.1,0.0,870.0,0.0,0.87,0.435,0.87,0.87
Argos-mutated,6,33.9,0.0,1000.0,0.0,0.87,0.565,0.87,0.87
Argos-mutated,6,30.0,0.0,1110.0,0.0,1.0,0.555,1.0,0.89
Argos-mutated,6,25.5,0.0,1000.0,0.0,1.15,0.5,0.85,0.85
