Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
Orion-baseline,-1,-1,0,-1,0,-1,0,4,300,0,100,1
Orion-baseline,-1,-1,0,-1,0,-1,0,4,200,0,100,1
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,1
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,1
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,1
Orion-mutated,-1,-1,0,-1,0,-1,0,4,339.0,0,87.0,0.87
Orion-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,90.0,0.9
Orion-mutated,-1,-1,0,-1,0,-1,0,9,115000.0,0,1000.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,110000.0,0,1000.0,0.9
Orion-mutated,-1,-1,0,-1,0,-1,0,9,88000.0,0,880.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,4,264.0,0,112.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,4,172.0,0,114.0,0.86
Orion-mutated,-1,-1,0,-1,0,-1,0,9,111000.0,0,1110.0,0.89
Orion-mutated,-1,-1,0,-1,0,-1,0,9,89000.0,0,1000.0,0.89
Orion-mutated,-1,-1,0,-1,0,-1,0,9,113000.0,0,1000.0,0.87
Orion-mutated,-1,-1,0,-1,0,-1,0,4,300.0,0,85.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,4,172.0,0,100.0,0.86
Orion-mutated,-1,-1,0,-1,0,-1,0,9,110000.0,0,900.0,0.9
Orion-mutated,-1,-1,0,-1,0,-1,0,9,100000.0,0,1150.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,85000.0,0,1000.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,4,345.0,0,85.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,100.0,0.86
Orion-mutated,-1,-1,0,-1,0,-1,0,9,114000.0,0,1140.0,0.86
Orion-mutated,-1,-1,0,-1,0,-1,0,9,111000.0,0,1110.0,0.89
Orion-mutated,-1,-1,0,-1,0,-1,0,9,86000.0,0,860.0,0.86
