Name,HullIndexParent,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,LocalDirectionX,LocalDirectionY,LocalDirectionZ,MobilityType,LocalPositionX,LocalPositionY,LocalPositionZ,Fitness
Orion-baseline,15,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,16,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,31,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,32,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,33,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,34,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,35,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
Orion-baseline,36,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,1
