Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Teuthus-baseline,6,300,30,1000,0,1,10,0,1
Teuthus-mutated,6,300.0,30.0,870.0,0.0,1.13,10.0,0.0,0.87
Teuthus-mutated,6,270.0,30.0,1000.0,0.0,1.0,10.0,0.0,0.9
Teuthus-mutated,6,300.0,30.0,1140.0,0.0,1.0,10.0,0.0,0.86
Teuthus-mutated,6,300.0,25.8,1140.0,0.0,0.86,8.6,0.0,0.86
Teuthus-mutated,6,345.0,25.5,1000.0,0.0,1.15,11.5,0.0,0.85
Teuthus-mutated,6,300.0,27.0,1000.0,0.0,0.9,10.0,0.0,0.9
Teuthus-mutated,6,300.0,33.9,870.0,0.0,1.0,11.3,0.0,0.87
Teuthus-mutated,6,300.0,27.0,900.0,0.0,1.0,11.0,0.0,0.9
Teuthus-mutated,6,300.0,33.6,1120.0,0.0,1.12,8.8,0.0,0.88
Teuthus-mutated,6,330.0,27.0,1100.0,0.0,0.9,11.0,0.0,0.9
Teuthus-mutated,6,258.0,34.2,1000.0,0.0,1.1400000000000001,11.4,0.0,0.86
Teuthus-mutated,6,270.0,33.0,1100.0,0.0,1.1,10.0,0.0,0.9
Teuthus-mutated,6,264.0,26.4,1000.0,0.0,1.12,11.2,0.0,0.88
Teuthus-mutated,6,300.0,33.6,1000.0,0.0,0.88,10.0,0.0,0.88
Teuthus-mutated,6,342.0,34.2,1140.0,0.0,1.0,8.6,0.0,0.86
Teuthus-mutated,6,255.0,30.0,1150.0,0.0,0.85,8.5,0.0,0.85
Teuthus-mutated,6,300.0,33.3,890.0,0.0,1.11,10.0,0.0,0.89
Teuthus-mutated,6,270.0,27.0,1000.0,0.0,1.0,9.0,0.0,0.9
Teuthus-mutated,6,264.0,30.0,880.0,0.0,1.12,8.8,0.0,0.88
Teuthus-mutated,6,267.0,33.3,1110.0,0.0,0.89,10.0,0.0,0.89
Teuthus-mutated,6,300.0,25.8,860.0,0.0,0.86,11.4,0.0,0.86
Teuthus-mutated,6,261.0,33.9,1000.0,0.0,1.0,10.0,0.0,0.87
Teuthus-mutated,6,300.0,34.5,1000.0,0.0,1.15,10.0,0.0,0.85
Teuthus-mutated,6,345.0,30.0,1150.0,0.0,1.15,10.0,0.0,0.85
Teuthus-mutated,6,300.0,33.9,870.0,0.0,0.87,10.0,0.0,0.87
Teuthus-mutated,6,261.0,26.1,870.0,0.0,1.13,10.0,0.0,0.87
Teuthus-mutated,6,300.0,30.0,890.0,0.0,1.11,10.0,0.0,0.89
Teuthus-mutated,6,255.0,34.5,850.0,0.0,1.0,11.5,0.0,0.85
Teuthus-mutated,6,345.0,30.0,1000.0,0.0,1.0,10.0,0.0,0.85
Teuthus-mutated,6,333.0,33.3,1000.0,0.0,0.89,11.1,0.0,0.89
Teuthus-mutated,6,264.0,30.0,1120.0,0.0,1.12,8.8,0.0,0.88
Teuthus-mutated,6,267.0,33.3,1110.0,0.0,1.11,8.9,0.0,0.89
Teuthus-mutated,6,261.0,26.1,1130.0,0.0,0.87,11.3,0.0,0.87
Teuthus-mutated,6,336.0,33.6,1000.0,0.0,1.12,8.8,0.0,0.88
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.0,10.0,0.0,0.86
Teuthus-mutated,6,264.0,33.6,1120.0,0.0,0.88,8.8,0.0,0.88
Teuthus-mutated,6,264.0,30.0,1000.0,0.0,0.88,8.8,0.0,0.88
Teuthus-mutated,6,300.0,34.2,860.0,0.0,1.1400000000000001,10.0,0.0,0.86
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.15,8.5,0.0,0.85
Teuthus-mutated,6,258.0,30.0,860.0,0.0,0.86,11.4,0.0,0.86
Teuthus-mutated,6,300.0,34.5,1150.0,0.0,1.15,10.0,0.0,0.85
Teuthus-mutated,6,336.0,26.4,1000.0,0.0,1.0,10.0,0.0,0.88
Teuthus-mutated,6,300.0,25.8,860.0,0.0,1.1400000000000001,11.4,0.0,0.86
Teuthus-mutated,6,339.0,26.1,1000.0,0.0,1.0,8.7,0.0,0.87
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.0,8.8,0.0,0.88
Teuthus-mutated,6,336.0,33.6,880.0,0.0,1.0,8.8,0.0,0.88
Teuthus-mutated,6,270.0,30.0,1100.0,0.0,1.0,10.0,0.0,0.9
Teuthus-mutated,6,300.0,26.1,1130.0,0.0,1.0,10.0,0.0,0.87
Teuthus-mutated,6,300.0,30.0,1140.0,0.0,1.1400000000000001,11.4,0.0,0.86
