Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Argos-baseline,6,30,0,1000,0,1,0.5,1,1
BossNightmare-baseline,6,25,0,1000,0,1,10,0,1
CubicKeeper-baseline,0,20,0,1000,0,0.0,0.0,0.0,1
DaimonAlpha-baseline,1,300,0,1000,0,50,10,0,1
DaimonBeta-baseline,6,100,0,1000,0,0.5,5,0,1
DaimonBlade-baseline,6,50,0,1000,0,5,10,0,1
DaimonBladeLauncher-baseline,6,100,0,1000,0,30,10,0,1
DaimonDelta-baseline,6,50,0,1000,0,5,10,0,1
DaimonEpsilon-baseline,6,30,0,1000,0,0.2,0.1,0,1
DaimonEta-baseline,6,300,0,1000,0,10,10,0,1
DaimonEtaLaser-baseline,6,300,0,1000,0,0.2,0.3,1,1
DaimonEtaProjectile-baseline,6,300,0,1000,0,10,10,0,1
DaimonGamma-baseline,6,50,0,1000,0,5,10,0,1
DaimonKnight-baseline,6,100,0,1000,0,2,2,0,1
DaimonLightning-baseline,6,30,0,1000,0,30,10,0,1
DaimonLightningLaser-baseline,6,30,0,1000,0,30,10,0,1
DaimonLightningSpike-baseline,6,30,0,1000,0,30,10,0,1
DaimonMobulaBlade-baseline,6,50,0,1000,0,5,10,0,1
DaimonMobulaBolt-baseline,6,100,0,1000,0,20,10,0,1
DaimonMobulaLaser-baseline,6,100,0,1000,0,0.1,0.3,1,1
DaimonMobulaProjectile-baseline,6,100,0,1000,0,30,10,0,1
DaimonObstacle-baseline,0,500,0,1000,0,0.0,0.0,0.0,1
DaimonObstacleBolt-baseline,6,400,0,1000,0,1,10,0,1
DaimonObstacleLaser-baseline,6,400,0,1000,0,1,10,0,1
DaimonObstacleMissile-baseline,6,300,0,1000,0,10,10,0,1
DaimonObstacleProjectile-baseline,6,200,0,1000,0,1,10,0,1
DaimonObstacleSpike-baseline,6,400,0,1000,0,1,10,0,1
DaimonSpike-baseline,6,30,0,1000,0,5,10,0,1
DaimonSwarm-baseline,6,300,0,1000,0,10,10,0,1
DaimonTrial-baseline,6,300,0,1000,0,1,5,0,1
DaimonTurretBlade-baseline,6,100,0,1000,0,30,10,0,1
DaimonTurretCompound-baseline,6,75,0,1000,0,5,5,0,1
DaimonTurretCompoundLaser-baseline,6,75,0,1000,0,0.25,1,1,1
DaimonTurretLaser-baseline,6,100,0,1000,0,0.2,0.3,0,1
DaimonTurretMissile-baseline,6,100,0,1000,0,30,10,0,1
DaimonTurretProjectile-baseline,6,100,0,1000,0,30,10,0,1
DaimonZeta-baseline,6,10,0,1000,0,0.2,1.0,0,1
DroneAlpha-baseline,6,30,0,1000,0,30,10,0,1
DroneAlphaLaser-baseline,6,30,0,1000,0,30,10,0,1
DroneAlphaSpike-baseline,6,30,0,1000,0,30,10,0,1
DroneBeta-baseline,6,100,0,1000,0,30,10,0,1
Frosty-baseline,6,75,0,1000,0,10,10,0,1
Ichthyos-baseline,1,150,50,1000,0,30,5,0,1
Jack-baseline,6,75,0,1000,0,10,10,0,1
Kroma-baseline,0,25,0,1000,0,0.0,0.0,0.0,1
KromaChild-baseline,6,50,0,1000,0,2,10,0,1
KromaElite-baseline,6,50,0,1000,0,5,10,0,1
Larva-baseline,3,25,0,1000,0,1,1000,0,1
MCCreeper-baseline,6,100,0,1000,0,0.5,5,0,1
MCSkeleton-baseline,6,100,0,1000,0,0.5,5,0,1
Maia-baseline,6,50,50,1000,0,0.5,1,1,1
Marble-baseline,1,300,0,1000,0,50,10,0,1
Mars-baseline,0,25,0,1000,0,0.0,0.0,0.0,1
Orion-baseline,6,30,0,1000,0,3,3,0,1
Soul-baseline,2,500,0,170,0,0.0,0.0,0.0,1
Teuthus-baseline,6,300,30,1000,0,1,10,0,1
TrailerAlpha-baseline,1,100,60,1000,0,2,2,0,1
TrailerBeta-baseline,1,100,50,1000,0,0.5,2,0,1
Vermis-baseline,4,300,50,100,0,5,5,0,1
VermisChild-baseline,4,300,50,1000,0,50,10,0,1
WingAlpha-baseline,1,50,50,1000,0,0.5,2,0,1
