Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,100,0,50,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
BossNightmare-baseline,-1,-1,0,-1,0,-1,0,4,300,0,100,1
CubicKeeper-baseline,10,1,1,5,100,0,100,5,100,0,100,1
DaimonAlpha-baseline,5,9,1,-1,0,-1,0,3,30,0,300,
DaimonBeta-baseline,20,0,1,4,300,0,100,4,300,0,100,
DaimonBlade-baseline,100,8,4,7,0,1,20,7,0,0,20,
DaimonBladeLauncher-baseline,250,1,15,4,300,0,100,4,300,0,100,
DaimonDelta-baseline,30,5,1,4,300,0,100,4,300,0,100,
DaimonEpsilon-baseline,40,5,1,4,600,0,100,4,600,0,100,
DaimonEta-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonEtaLaser-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonEtaProjectile-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonGamma-baseline,20,2,1,4,300,0,100,4,300,0,100,
DaimonKnight-baseline,5,2,1,7,19,0,100,7,19,0,100,
DaimonLightning-baseline,250,1,3,4,150,0,100,4,150,0,100,
DaimonLightningLaser-baseline,250,1,3,4,200,0,100,4,200,0,100,
DaimonLightningSpike-baseline,250,1,3,4,150,0,100,4,150,0,100,
DaimonMobulaBlade-baseline,100,8,3,7,0,1,50,7,0,0,50,
DaimonMobulaBolt-baseline,10,0,1,4,50,0,50,4,50,0,50,
DaimonMobulaLaser-baseline,10,0,2,4,50,0,50,4,50,0,50,
DaimonMobulaProjectile-baseline,10,1,5,4,50,0,50,4,50,0,50,
DaimonObstacle-baseline,1,-1,0,-1,0,-1,0,6,200,0,100,
DaimonObstacleBolt-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleLaser-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleMissile-baseline,25,-1,0,-1,0,-1,0,6,1000,0,400,
DaimonObstacleProjectile-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleSpike-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonSpike-baseline,5,5,1,7,10,0,100,7,10,0,100,
DaimonSwarm-baseline,0,6,5,4,50,0,100,4,50,0,100,
DaimonTrial-baseline,-1,1,1,5,100,0,100,5,100,0,100,
DaimonTurretBlade-baseline,250,1,5,5,1000,0,100,5,1000,0,100,
DaimonTurretCompound-baseline,500,2,5,4,175,0,100,4,175,0,100,
DaimonTurretCompoundLaser-baseline,500,2,7,4,175,0,100,4,175,0,100,
DaimonTurretLaser-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonTurretMissile-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonTurretProjectile-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonZeta-baseline,50,2,1,7,200,0,100,7,200,0,100,
DroneAlpha-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneAlphaLaser-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneAlphaSpike-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneBeta-baseline,250,1,15,4,300,0,100,4,300,0,100,
Frosty-baseline,10,9,1,4,150,3,100,4,30,0,30,
Ichthyos-baseline,0,6,1,4,150,3,150,4,50,0,30,
Jack-baseline,10,9,1,4,150,3,100,4,30,0,30,
Kroma-baseline,10,5,1,7,50,0,100,7,50,0,100,
KromaChild-baseline,5,5,1,7,50,0,100,7,50,0,100,
KromaElite-baseline,20,5,1,4,200,0,100,4,200,0,100,
Larva-baseline,1,5,1,7,50,0,100,7,50,0,100,
MCCreeper-baseline,20,0,1,4,100,0,100,4,100,0,100,
MCSkeleton-baseline,20,0,1,4,100,0,100,4,100,0,100,
Maia-baseline,-1,2,5,-1,0,-1,0,4,300,0,100,
Marble-baseline,250,1,1.5,5,1000,0,200,5,1000,0,200,
Mars-baseline,1,5,1,7,50,0,100,7,50,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,4,300,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,4,200,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Soul-baseline,-1,-1,0,-1,0,-1,0,1,0,0,100,
Teuthus-baseline,-1,2,5,-1,0,-1,0,4,175,0,100,
TrailerAlpha-baseline,250,1,5,4,100,0,100,4,100,0,100,
TrailerBeta-baseline,500,1,5,4,200,0,100,4,200,0,100,
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,
Vermis-baseline,-1,-1,0,-1,0,-1,0,4,200,0,190,
VermisChild-baseline,-1,-1,0,-1,0,-1,0,8,35,0,190,
WingAlpha-baseline,2000,1,5,7,100,0,100,7,100,0,100,
