Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Argos-baseline,6,30,0,1000,0,1,0.5,1,1
Orion-baseline,6,30,0,1000,0,3,3,0,1
Teuthus-baseline,6,300,30,1000,0,1,10,0,1
Vermis-baseline,4,300,50,100,0,5,5,0,1
Argos-mutated,6,34.2,0.0,1000.0,0.0,0.86,0.43,0.86,0.86
Orion-mutated,6,27.0,0.0,1100.0,0.0,2.7,3.0,0.0,0.9
Teuthus-mutated,6,330.0,33.0,1000.0,0.0,1.1,9.0,0.0,0.9
Vermis-mutated,4,258.0,50.0,100.0,0.0,5.0,5.7,0.0,0.86
Argos-mutated,6,30.0,0.0,1110.0,0.0,1.0,0.445,1.11,0.89
Orion-mutated,6,30.0,0.0,1000.0,0.0,3.39,3.39,0.0,0.87
Teuthus-mutated,6,336.0,26.4,1000.0,0.0,1.0,8.8,0.0,0.88
Vermis-mutated,4,300.0,50.0,85.0,0.0,5.75,5.75,0.0,0.85
Argos-mutated,6,30.0,0.0,1000.0,0.0,0.89,0.445,0.89,0.89
Orion-mutated,6,30.0,0.0,1000.0,0.0,3.33,2.67,0.0,0.89
Teuthus-mutated,6,345.0,34.5,850.0,0.0,0.85,11.5,0.0,0.85
Vermis-mutated,4,300.0,44.0,88.0,0.0,4.4,5.6,0.0,0.88
Argos-mutated,6,33.9,0.0,1130.0,0.0,1.0,0.5,1.13,0.87
Orion-mutated,6,26.7,0.0,1110.0,0.0,2.67,2.67,0.0,0.89
Teuthus-mutated,6,330.0,33.0,1100.0,0.0,0.9,9.0,0.0,0.9
Vermis-mutated,4,255.0,42.5,100.0,0.0,5.75,4.25,0.0,0.85
Argos-mutated,6,30.0,0.0,1000.0,0.0,1.0,0.5,0.86,0.86
Orion-mutated,6,25.8,0.0,1140.0,0.0,2.58,3.0,0.0,0.86
Teuthus-mutated,6,267.0,33.3,1110.0,0.0,0.89,11.1,0.0,0.89
Vermis-mutated,4,261.0,50.0,113.0,0.0,5.0,5.0,0.0,0.87
Argos-mutated,6,33.6,0.0,1120.0,0.0,1.0,0.44,0.88,0.88
Orion-mutated,6,34.2,0.0,860.0,0.0,2.58,2.58,0.0,0.86
Teuthus-mutated,6,261.0,30.0,870.0,0.0,1.0,8.7,0.0,0.87
Vermis-mutated,4,300.0,56.5,113.0,0.0,4.35,5.0,0.0,0.87
Argos-mutated,6,30.0,0.0,880.0,0.0,1.0,0.44,0.88,0.88
Orion-mutated,6,30.0,0.0,850.0,0.0,3.45,3.45,0.0,0.85
Teuthus-mutated,6,300.0,33.0,1100.0,0.0,1.1,9.0,0.0,0.9
Vermis-mutated,4,333.0,55.5,111.0,0.0,4.45,4.45,0.0,0.89
