Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,100,0,50,1
Argos-baseline,-1,2,5,-1,0,-1,0,4,200,0,100,1
BossNightmare-baseline,-1,-1,0,-1,0,-1,0,4,300,0,100,1
CubicKeeper-baseline,10,1,1,5,100,0,100,5,100,0,100,1
DaimonAlpha-baseline,5,9,1,-1,0,-1,0,3,30,0,300,
DaimonBeta-baseline,20,0,1,4,300,0,100,4,300,0,100,
DaimonBlade-baseline,100,8,4,7,0,1,20,7,0,0,20,
DaimonBladeLauncher-baseline,250,1,15,4,300,0,100,4,300,0,100,
DaimonDelta-baseline,30,5,1,4,300,0,100,4,300,0,100,
DaimonEpsilon-baseline,40,5,1,4,600,0,100,4,600,0,100,
DaimonEta-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonEtaLaser-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonEtaProjectile-baseline,10,9,1,4,150,3,100,4,30,0,1,
DaimonGamma-baseline,20,2,1,4,300,0,100,4,300,0,100,
DaimonKnight-baseline,5,2,1,7,19,0,100,7,19,0,100,
DaimonLightning-baseline,250,1,3,4,150,0,100,4,150,0,100,
DaimonLightningLaser-baseline,250,1,3,4,200,0,100,4,200,0,100,
DaimonLightningSpike-baseline,250,1,3,4,150,0,100,4,150,0,100,
DaimonMobulaBlade-baseline,100,8,3,7,0,1,50,7,0,0,50,
DaimonMobulaBolt-baseline,10,0,1,4,50,0,50,4,50,0,50,
DaimonMobulaLaser-baseline,10,0,2,4,50,0,50,4,50,0,50,
DaimonMobulaProjectile-baseline,10,1,5,4,50,0,50,4,50,0,50,
DaimonObstacle-baseline,1,-1,0,-1,0,-1,0,6,200,0,100,
DaimonObstacleBolt-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleLaser-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleMissile-baseline,25,-1,0,-1,0,-1,0,6,1000,0,400,
DaimonObstacleProjectile-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonObstacleSpike-baseline,5,-1,0,-1,0,-1,0,6,300,0,400,
DaimonSpike-baseline,5,5,1,7,10,0,100,7,10,0,100,
DaimonSwarm-baseline,0,6,5,4,50,0,100,4,50,0,100,
DaimonTrial-baseline,-1,1,1,5,100,0,100,5,100,0,100,
DaimonTurretBlade-baseline,250,1,5,5,1000,0,100,5,1000,0,100,
DaimonTurretCompound-baseline,500,2,5,4,175,0,100,4,175,0,100,
DaimonTurretCompoundLaser-baseline,500,2,7,4,175,0,100,4,175,0,100,
DaimonTurretLaser-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonTurretMissile-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonTurretProjectile-baseline,250,1,1.5,5,1000,0,100,5,1000,0,100,
DaimonZeta-baseline,50,2,1,7,200,0,100,7,200,0,100,
DroneAlpha-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneAlphaLaser-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneAlphaSpike-baseline,250,1,5,4,250,0,100,4,250,0,100,
DroneBeta-baseline,250,1,15,4,300,0,100,4,300,0,100,
Frosty-baseline,10,9,1,4,150,3,100,4,30,0,30,
Ichthyos-baseline,0,6,1,4,150,3,150,4,50,0,30,
Jack-baseline,10,9,1,4,150,3,100,4,30,0,30,
Kroma-baseline,10,5,1,7,50,0,100,7,50,0,100,
KromaChild-baseline,5,5,1,7,50,0,100,7,50,0,100,
KromaElite-baseline,20,5,1,4,200,0,100,4,200,0,100,
Larva-baseline,1,5,1,7,50,0,100,7,50,0,100,
MCCreeper-baseline,20,0,1,4,100,0,100,4,100,0,100,
MCSkeleton-baseline,20,0,1,4,100,0,100,4,100,0,100,
Maia-baseline,-1,2,5,-1,0,-1,0,4,300,0,100,
Marble-baseline,250,1,1.5,5,1000,0,200,5,1000,0,200,
Mars-baseline,1,5,1,7,50,0,100,7,50,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,4,300,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,4,200,0,100,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Orion-baseline,-1,-1,0,-1,0,-1,0,9,100000,0,1000,
Soul-baseline,-1,-1,0,-1,0,-1,0,1,0,0,100,
Teuthus-baseline,-1,2,5,-1,0,-1,0,4,175,0,100,
TrailerAlpha-baseline,250,1,5,4,100,0,100,4,100,0,100,
TrailerBeta-baseline,500,1,5,4,200,0,100,4,200,0,100,
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,
Vermis-baseline,-1,-1,0,-1,0,-1,0,1,0,200,190,
Vermis-baseline,-1,-1,0,-1,0,-1,0,4,200,0,190,
VermisChild-baseline,-1,-1,0,-1,0,-1,0,8,35,0,190,
WingAlpha-baseline,2000,1,5,7,100,0,100,7,100,0,100,
Argos-mutated,-1,2,5,-1,0,-1,0,4,220.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,85.0,0.85
BossNightmare-mutated,-1,-1,0,-1,0,-1,0,4,267.0,0,100.0,0.89
CubicKeeper-mutated,10,1,1,5,100,0,100,5,100.0,0,100.0,0.85
DaimonAlpha-mutated,5,9,1,-1,0,-1,0,3,33.3,0,333.0,0.89
DaimonBeta-mutated,20,0,1,4,300,0,100,4,300.0,0,100.0,0.85
DaimonBlade-mutated,100,8,4,7,0,1,20,7,0.0,0,20.0,0.89
DaimonBladeLauncher-mutated,250,1,15,4,300,0,100,4,258.0,0,114.0,0.86
DaimonDelta-mutated,30,5,1,4,300,0,100,4,267.0,0,100.0,0.89
DaimonEpsilon-mutated,40,5,1,4,600,0,100,4,600.0,0,100.0,0.89
DaimonEta-mutated,10,9,1,4,150,3,100,4,30.0,0,0.86,0.86
DaimonEtaLaser-mutated,10,9,1,4,150,3,100,4,30.0,0,0.85,0.85
DaimonEtaProjectile-mutated,10,9,1,4,150,3,100,4,34.2,0,1.0,0.86
DaimonGamma-mutated,20,2,1,4,300,0,100,4,258.0,0,100.0,0.86
DaimonKnight-mutated,5,2,1,7,19,0,100,7,21.47,0,87.0,0.87
DaimonLightning-mutated,250,1,3,4,150,0,100,4,150.0,0,100.0,0.85
DaimonLightningLaser-mutated,250,1,3,4,200,0,100,4,222.0,0,100.0,0.89
DaimonLightningSpike-mutated,250,1,3,4,150,0,100,4,150.0,0,100.0,0.85
DaimonMobulaBlade-mutated,100,8,3,7,0,1,50,7,0.0,0,57.5,0.85
DaimonMobulaBolt-mutated,10,0,1,4,50,0,50,4,43.0,0,50.0,0.86
DaimonMobulaLaser-mutated,10,0,2,4,50,0,50,4,50.0,0,50.0,0.87
DaimonMobulaProjectile-mutated,10,1,5,4,50,0,50,4,44.5,0,55.5,0.89
DaimonObstacle-mutated,1,-1,0,-1,0,-1,0,6,172.0,0,114.0,0.86
DaimonObstacleBolt-mutated,5,-1,0,-1,0,-1,0,6,258.0,0,344.0,0.86
DaimonObstacleLaser-mutated,5,-1,0,-1,0,-1,0,6,342.0,0,344.0,0.86
DaimonObstacleMissile-mutated,25,-1,0,-1,0,-1,0,6,1000.0,0,400.0,0.86
DaimonObstacleProjectile-mutated,5,-1,0,-1,0,-1,0,6,264.0,0,400.0,0.88
DaimonObstacleSpike-mutated,5,-1,0,-1,0,-1,0,6,267.0,0,444.0,0.89
DaimonSpike-mutated,5,5,1,7,10,0,100,7,8.9,0,111.0,0.89
DaimonSwarm-mutated,0,6,5,4,50,0,100,4,55.0,0,110.0,0.9
DaimonTrial-mutated,-1,1,1,5,100,0,100,5,100.0,0,100.0,0.9
DaimonTurretBlade-mutated,250,1,5,5,1000,0,100,5,1110.0,0,111.0,0.89
DaimonTurretCompound-mutated,500,2,5,4,175,0,100,4,157.5,0,110.0,0.9
DaimonTurretCompoundLaser-mutated,500,2,7,4,175,0,100,4,175.0,0,100.0,0.87
DaimonTurretLaser-mutated,250,1,1.5,5,1000,0,100,5,1000.0,0,86.0,0.86
DaimonTurretMissile-mutated,250,1,1.5,5,1000,0,100,5,860.0,0,86.0,0.86
DaimonTurretProjectile-mutated,250,1,1.5,5,1000,0,100,5,850.0,0,85.0,0.85
DaimonZeta-mutated,50,2,1,7,200,0,100,7,200.0,0,89.0,0.89
DroneAlpha-mutated,250,1,5,4,250,0,100,4,250.0,0,85.0,0.85
DroneAlphaLaser-mutated,250,1,5,4,250,0,100,4,282.5,0,113.0,0.87
DroneAlphaSpike-mutated,250,1,5,4,250,0,100,4,277.5,0,89.0,0.89
DroneBeta-mutated,250,1,15,4,300,0,100,4,336.0,0,100.0,0.88
Frosty-mutated,10,9,1,4,150,3,100,4,30.0,0,33.6,0.88
Ichthyos-mutated,0,6,1,4,150,3,150,4,57.0,0,30.0,0.86
Jack-mutated,10,9,1,4,150,3,100,4,34.2,0,30.0,0.86
Kroma-mutated,10,5,1,7,50,0,100,7,43.0,0,86.0,0.86
KromaChild-mutated,5,5,1,7,50,0,100,7,43.0,0,100.0,0.86
KromaElite-mutated,20,5,1,4,200,0,100,4,230.0,0,115.0,0.85
Larva-mutated,1,5,1,7,50,0,100,7,56.5,0,100.0,0.87
MCCreeper-mutated,20,0,1,4,100,0,100,4,113.0,0,87.0,0.87
MCSkeleton-mutated,20,0,1,4,100,0,100,4,100.0,0,89.0,0.89
Maia-mutated,-1,2,5,-1,0,-1,0,4,264.0,0,100.0,0.88
Marble-mutated,250,1,1.5,5,1000,0,200,5,900.0,0,180.0,0.9
Mars-mutated,1,5,1,7,50,0,100,7,55.0,0,100.0,0.9
Orion-mutated,-1,-1,0,-1,0,-1,0,4,336.0,0,88.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,4,224.0,0,100.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,9,100000.0,0,1130.0,0.87
Orion-mutated,-1,-1,0,-1,0,-1,0,9,111000.0,0,1110.0,0.89
Orion-mutated,-1,-1,0,-1,0,-1,0,9,110000.0,0,900.0,0.9
Soul-mutated,-1,-1,0,-1,0,-1,0,1,0.0,0,100.0,0.86
Teuthus-mutated,-1,2,5,-1,0,-1,0,4,175.0,0,112.0,0.88
TrailerAlpha-mutated,250,1,5,4,100,0,100,4,110.0,0,110.0,0.9
TrailerBeta-mutated,500,1,5,4,200,0,100,4,200.0,0,90.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,209.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,216.6,0.86
VermisChild-mutated,-1,-1,0,-1,0,-1,0,8,38.5,0,171.0,0.9
WingAlpha-mutated,2000,1,5,7,100,0,100,7,100.0,0,100.0,0.86
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,100.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,45.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,112.0,0.88
BossNightmare-mutated,-1,-1,0,-1,0,-1,0,4,300.0,0,111.0,0.89
CubicKeeper-mutated,10,1,1,5,100,0,100,5,100.0,0,88.0,0.88
DaimonAlpha-mutated,5,9,1,-1,0,-1,0,3,33.9,0,261.0,0.87
DaimonBeta-mutated,20,0,1,4,300,0,100,4,333.0,0,89.0,0.89
DaimonBlade-mutated,100,8,4,7,0,1,20,7,0.0,0,20.0,0.86
DaimonBladeLauncher-mutated,250,1,15,4,300,0,100,4,300.0,0,85.0,0.85
DaimonDelta-mutated,30,5,1,4,300,0,100,4,342.0,0,86.0,0.86
DaimonEpsilon-mutated,40,5,1,4,600,0,100,4,678.0,0,113.0,0.87
DaimonEta-mutated,10,9,1,4,150,3,100,4,34.2,0,1.1400000000000001,0.86
DaimonEtaLaser-mutated,10,9,1,4,150,3,100,4,30.0,0,0.86,0.86
DaimonEtaProjectile-mutated,10,9,1,4,150,3,100,4,26.7,0,1.11,0.89
DaimonGamma-mutated,20,2,1,4,300,0,100,4,300.0,0,113.0,0.87
DaimonKnight-mutated,5,2,1,7,19,0,100,7,21.47,0,87.0,0.87
DaimonLightning-mutated,250,1,3,4,150,0,100,4,132.0,0,100.0,0.88
DaimonLightningLaser-mutated,250,1,3,4,200,0,100,4,200.0,0,110.0,0.9
DaimonLightningSpike-mutated,250,1,3,4,150,0,100,4,150.0,0,100.0,0.9
DaimonMobulaBlade-mutated,100,8,3,7,0,1,50,7,0.0,0,50.0,0.85
DaimonMobulaBolt-mutated,10,0,1,4,50,0,50,4,56.5,0,56.5,0.87
DaimonMobulaLaser-mutated,10,0,2,4,50,0,50,4,56.0,0,44.0,0.88
DaimonMobulaProjectile-mutated,10,1,5,4,50,0,50,4,56.5,0,50.0,0.87
DaimonObstacle-mutated,1,-1,0,-1,0,-1,0,6,180.0,0,100.0,0.9
DaimonObstacleBolt-mutated,5,-1,0,-1,0,-1,0,6,342.0,0,344.0,0.86
DaimonObstacleLaser-mutated,5,-1,0,-1,0,-1,0,6,300.0,0,356.0,0.89
DaimonObstacleMissile-mutated,25,-1,0,-1,0,-1,0,6,870.0,0,348.0,0.87
DaimonObstacleProjectile-mutated,5,-1,0,-1,0,-1,0,6,270.0,0,440.0,0.9
DaimonObstacleSpike-mutated,5,-1,0,-1,0,-1,0,6,300.0,0,400.0,0.88
DaimonSpike-mutated,5,5,1,7,10,0,100,7,10.0,0,112.0,0.88
DaimonSwarm-mutated,0,6,5,4,50,0,100,4,45.0,0,90.0,0.9
DaimonTrial-mutated,-1,1,1,5,100,0,100,5,100.0,0,113.0,0.87
DaimonTurretBlade-mutated,250,1,5,5,1000,0,100,5,870.0,0,113.0,0.87
DaimonTurretCompound-mutated,500,2,5,4,175,0,100,4,192.5,0,100.0,0.9
DaimonTurretCompoundLaser-mutated,500,2,7,4,175,0,100,4,152.25,0,87.0,0.87
DaimonTurretLaser-mutated,250,1,1.5,5,1000,0,100,5,1110.0,0,111.0,0.89
DaimonTurretMissile-mutated,250,1,1.5,5,1000,0,100,5,1140.0,0,114.0,0.86
DaimonTurretProjectile-mutated,250,1,1.5,5,1000,0,100,5,1000.0,0,87.0,0.87
DaimonZeta-mutated,50,2,1,7,200,0,100,7,226.0,0,113.0,0.87
DroneAlpha-mutated,250,1,5,4,250,0,100,4,287.5,0,85.0,0.85
