Name,HullIndexParent,HullType,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,ObjectMass,ObjectMaterial,ObjectMaximumLife,ObjectArmor,DestructionDelay,EffectMultiplierKill,EffectMultiplierDestroy,EffectsMaskKill,EffectsMaskDestroy,LocalDirectionX,LocalDirectionY,LocalDirectionZ,Fitness
Argos-baseline,-1,0,1.0,1.0,1.0,0.0,-0.297,-0.179,1.0,0.0,0.0,0.0,1.0,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,-0.36,0.0,0.2,1.0,0.0,0.0,0.0,0.01,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,-0.12,0.0,0.2,1.0,0.0,0.0,0.0,0.01,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,0.12,0.0,0.2,1.0,0.0,0.0,0.0,0.01,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,0.36,0.0,0.2,1.0,0.0,0.0,0.0,0.01,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,-0.36,0.214,0.213,1.0,0.0,0.0,0.0,0.01,5,10.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,-0.12,0.214,0.213,1.0,0.0,0.0,0.0,0.01,5,10.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,0.12,0.214,0.213,1.0,0.0,0.0,0.0,0.01,5,10.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,1,1.0,1.0,1.0,0.36,0.214,0.213,1.0,0.0,0.0,0.0,0.01,5,10.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
Argos-baseline,-1,0,1.0,1.0,1.0,-0.583,0.0,-0.222,1.0,0.0,0.0,0.0,0.01,5,100.0,0.0,0.0,1.0,1.0,00000001010000000000000000010000,00000001010000000000000000010110,0.0,0.0,0.0,1
